province,country,lat,long,date_observation,cases
Afghanistan,Afghanistan,33,65,2020-01-22,0
Afghanistan,Afghanistan,33,65,2020-01-23,0
Afghanistan,Afghanistan,33,65,2020-01-24,0
Afghanistan,Afghanistan,33,65,2020-01-25,0
Afghanistan,Afghanistan,33,65,2020-01-26,0
Afghanistan,Afghanistan,33,65,2020-01-27,0
Afghanistan,Afghanistan,33,65,2020-01-28,0
Afghanistan,Afghanistan,33,65,2020-01-29,0
Afghanistan,Afghanistan,33,65,2020-01-30,0
Afghanistan,Afghanistan,33,65,2020-01-31,0
Afghanistan,Afghanistan,33,65,2020-02-01,0
Afghanistan,Afghanistan,33,65,2020-02-02,0
Afghanistan,Afghanistan,33,65,2020-02-03,0
Afghanistan,Afghanistan,33,65,2020-02-04,0
Afghanistan,Afghanistan,33,65,2020-02-05,0
Afghanistan,Afghanistan,33,65,2020-02-06,0
Afghanistan,Afghanistan,33,65,2020-02-07,0
Afghanistan,Afghanistan,33,65,2020-02-08,0
Afghanistan,Afghanistan,33,65,2020-02-09,0
Afghanistan,Afghanistan,33,65,2020-02-10,0
Afghanistan,Afghanistan,33,65,2020-02-11,0
Afghanistan,Afghanistan,33,65,2020-02-12,0
Afghanistan,Afghanistan,33,65,2020-02-13,0
Afghanistan,Afghanistan,33,65,2020-02-14,0
Afghanistan,Afghanistan,33,65,2020-02-15,0
Afghanistan,Afghanistan,33,65,2020-02-16,0
Afghanistan,Afghanistan,33,65,2020-02-17,0
Afghanistan,Afghanistan,33,65,2020-02-18,0
Afghanistan,Afghanistan,33,65,2020-02-19,0
Afghanistan,Afghanistan,33,65,2020-02-20,0
Afghanistan,Afghanistan,33,65,2020-02-21,0
Afghanistan,Afghanistan,33,65,2020-02-22,0
Afghanistan,Afghanistan,33,65,2020-02-23,0
Afghanistan,Afghanistan,33,65,2020-02-24,0
Afghanistan,Afghanistan,33,65,2020-02-25,0
Afghanistan,Afghanistan,33,65,2020-02-26,0
Afghanistan,Afghanistan,33,65,2020-02-27,0
Afghanistan,Afghanistan,33,65,2020-02-28,0
Afghanistan,Afghanistan,33,65,2020-02-29,0
Afghanistan,Afghanistan,33,65,2020-03-01,0
Afghanistan,Afghanistan,33,65,2020-03-02,0
Afghanistan,Afghanistan,33,65,2020-03-03,0
Afghanistan,Afghanistan,33,65,2020-03-04,0
Afghanistan,Afghanistan,33,65,2020-03-05,0
Afghanistan,Afghanistan,33,65,2020-03-06,0
Afghanistan,Afghanistan,33,65,2020-03-07,0
Afghanistan,Afghanistan,33,65,2020-03-08,0
Afghanistan,Afghanistan,33,65,2020-03-09,0
Afghanistan,Afghanistan,33,65,2020-03-10,0
Afghanistan,Afghanistan,33,65,2020-03-11,0
Afghanistan,Afghanistan,33,65,2020-03-12,0
Afghanistan,Afghanistan,33,65,2020-03-13,0
Afghanistan,Afghanistan,33,65,2020-03-14,0
Afghanistan,Afghanistan,33,65,2020-03-15,0
Afghanistan,Afghanistan,33,65,2020-03-16,0
Afghanistan,Afghanistan,33,65,2020-03-17,0
Afghanistan,Afghanistan,33,65,2020-03-18,0
Afghanistan,Afghanistan,33,65,2020-03-19,0
Afghanistan,Afghanistan,33,65,2020-03-20,0
Afghanistan,Afghanistan,33,65,2020-03-21,0
Afghanistan,Afghanistan,33,65,2020-03-22,1
Afghanistan,Afghanistan,33,65,2020-03-23,1
Afghanistan,Afghanistan,33,65,2020-03-24,1
Afghanistan,Afghanistan,33,65,2020-03-25,2
Afghanistan,Afghanistan,33,65,2020-03-26,4
Afghanistan,Afghanistan,33,65,2020-03-27,4
Afghanistan,Afghanistan,33,65,2020-03-28,4
Afghanistan,Afghanistan,33,65,2020-03-29,4
Afghanistan,Afghanistan,33,65,2020-03-30,4
Afghanistan,Afghanistan,33,65,2020-03-31,4
Afghanistan,Afghanistan,33,65,2020-04-01,4
Afghanistan,Afghanistan,33,65,2020-04-02,6
Afghanistan,Afghanistan,33,65,2020-04-03,6
Afghanistan,Afghanistan,33,65,2020-04-04,7
Afghanistan,Afghanistan,33,65,2020-04-05,7
Afghanistan,Afghanistan,33,65,2020-04-06,11
Afghanistan,Afghanistan,33,65,2020-04-07,14
Afghanistan,Afghanistan,33,65,2020-04-08,14
Afghanistan,Afghanistan,33,65,2020-04-09,15
Afghanistan,Afghanistan,33,65,2020-04-10,15
Afghanistan,Afghanistan,33,65,2020-04-11,18
Afghanistan,Afghanistan,33,65,2020-04-12,18
Afghanistan,Afghanistan,33,65,2020-04-13,21
Afghanistan,Afghanistan,33,65,2020-04-14,23
Afghanistan,Afghanistan,33,65,2020-04-15,25
Afghanistan,Afghanistan,33,65,2020-04-16,30
Afghanistan,Afghanistan,33,65,2020-04-17,30
Afghanistan,Afghanistan,33,65,2020-04-18,30
Afghanistan,Afghanistan,33,65,2020-04-19,33
Afghanistan,Afghanistan,33,65,2020-04-20,36
Afghanistan,Afghanistan,33,65,2020-04-21,36
Afghanistan,Afghanistan,33,65,2020-04-22,40
Afghanistan,Afghanistan,33,65,2020-04-23,42
