country,year,total_population,population_density
Afghanistan,2019,38041757,58.269
Africa,2019,1308064176,44.119
African Group,2019,1306320572,44.464
African Union,2019,130690303,44.085
African Union: Central Africa,2019,154013705,29.192
African Union: Eastern Africa,2019,382531219,59.835
African Union: Northern Africa,2019,203493226,28.925
African Union: Southern Africa,2019,179956492,30.458
African Union: Western Africa,2019,386908388,76.875
"African, Caribbean and Pacific (ACP) Group of States",2019,1150190575,47.628
Albania,2019,2880913,105.143
Algeria,2019,43053054,18.076
American Samoa,2019,55312,276.560
Andean Community,2019,111736664,30.027
Andorra,2019,77146,164.140
Angola,2019,31825299,25.528
Anguilla,2019,14872,165.244
Antigua and Barbuda,2019,97115,220.716
Argentina,2019,44780675,16.363
Armenia,2019,2957728,103.889
Aruba,2019,10631,590.611
Asia,2019,4601371266,148.273
Asia-Pacific Economic Cooperation (APEC),2019,2956245278,49.160
Asia-Pacific Group,2019,4582136259,146.198
Association of Southeast Asian Nations (ASEAN),2019,660718726,152.738
Australia,2019,252032,3.281
Australia/New Zealand,2019,29986262,3.774
Austria,2019,8955108,108.667
Azerbaijan,2019,10047719,121.558
BRIC,2019,3157123227,85.106
BRICS,2019,3215681494,83.940
Bahamas,2019,389486,38.910
Bahrain,2019,1641164,2159.426
Bangladesh,2019,163046173,1252.563
Barbados,2019,287021,667.491
Belarus,2019,9452409,46.584
Belgium,2019,11539326,381.087
Belize,2019,390351,17.113
Belt-Road Initiative (BRI),2019,3353564722,49.727
Belt-Road Initiative: Africa,2019,1164118622,48.048
Belt-Road Initiative: Asia,2019,1552928523,90.467
Belt-Road Initiative: Europe,2019,414572416,21.705
Belt-Road Initiative: Latin America and the Caribbean,2019,206761581,33.384
Belt-Road Initiative: Pacific,2019,1518358,20.208
Benin,2019,11801151,104.657
Bermuda,2019,62508,1250.160
Bhutan,2019,763094,20.020
Black Sea Economic Cooperation (BSEC),2019,342832245,18.510
Bolivarian Alliance for the Americas (ALBA),2019,58535065,26.668
Bolivia,2019,11513102,10.628
"Bonaire, Sint Eustatius and Saba",2019,25983,79.216
Bosnia and Herzegovina,2019,3300998,64.725
Botswana,2019,2303703,4.065
Brazil,2019,211049519,25.251
British Virgin Islands,2019,30033,200.220
Brunei,2019,433296,82.219
Bulgaria,2019,7000117,64.482
Burkina Faso,2019,20321383,74.274
Burundi,2019,11530577,449.010
Cabo Verde,2019,549936,136.461
Cambodia,2019,16486542,93.398
Cameroon,2019,25876387,54.741
Canada,2019,37411038,4.114
Caribbean,2019,43335006,191.740
Caribbean Community and Common Market (CARICOM),2019,18669459,43.165
Cayman Islands,2019,64948,270.617
Central African Republic,2019,4745179,7.617
Central America,2019,177586525,72.417
Central Asia,2019,73212111,18.644
